fps,p_rad,days_r,dm,d_t_d,d_prob,h_i_t,vac_p,inf_p,i_rad,pop,t_inf,n_inf,imm,sus,dec,frames, seed
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,256,0,841,51,108,525,1
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,337,0,786,110,104,656,2
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,298,0,809,91,100,568,3
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,230,0,820,70,110,487,4
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,324,0,841,53,106,638,5
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,231,0,851,43,106,447,6
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,241,0,839,56,105,473,7
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,310,0,838,62,100,712,8
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,301,0,827,77,96,546,9
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,298,0,811,89,100,825,10
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,240,0,862,34,104,418,11
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,273,0,706,217,77,686,12
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,239,0,856,45,99,554,13
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,247,0,830,55,115,479,14
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,254,0,864,56,80,522,15
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,338,0,761,147,92,675,16
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,288,0,858,61,81,549,17
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,274,0,817,64,119,526,18
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,260,0,809,84,107,519,19
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,246,0,864,51,85,550,20
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,274,0,839,48,113,613,21
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,284,0,816,78,106,587,22
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,308,0,812,99,89,787,23
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,233,0,855,34,111,442,24
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,236,0,858,43,99,474,25
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,303,0,803,102,95,624,26
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,306,0,804,91,105,613,27
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,292,0,791,107,102,645,28
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,284,0,826,69,105,667,29
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,290,0,817,94,89,593,30
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,275,0,823,63,114,501,31
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,248,0,860,40,100,537,32
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,295,0,830,69,101,569,33
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,282,0,816,96,88,604,34
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,251,0,853,65,82,465,35
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,1,0,202,798,0,80,36
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,272,0,809,95,96,564,37
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,268,0,860,45,95,424,38
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,323,0,858,48,94,655,39
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,294,0,804,106,90,704,40
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,328,0,807,91,102,613,41
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,255,0,842,59,99,487,42
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,235,0,820,81,99,464,43
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,251,0,831,56,113,577,44
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,1,0,211,788,1,10,45
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,330,0,782,112,106,610,46
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,269,0,840,53,107,464,47
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,281,0,837,62,101,506,48
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,1,0,189,811,0,80,49
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,311,0,818,87,95,593,50
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,321,0,807,82,111,601,51
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,227,0,845,50,105,433,52
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,263,0,828,55,117,516,53
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,1,0,205,795,0,80,54
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,283,0,840,66,94,544,55
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,1,0,199,801,0,80,56
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,232,0,860,42,98,441,57
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,1,0,209,790,1,20,58
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,271,0,860,42,98,539,59
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,287,0,825,62,113,579,60
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,1,0,200,800,0,80,61
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,260,0,846,55,99,521,62
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,291,0,818,84,98,559,63
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,273,0,827,71,102,558,64
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,310,0,823,50,127,607,65
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,265,0,859,49,92,539,66
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,306,0,804,82,114,835,67
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,223,0,865,30,105,431,68
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,317,0,773,122,105,579,69
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,268,0,805,99,96,479,70
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,282,0,818,72,110,580,71
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,315,0,816,74,110,673,72
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,315,0,837,71,92,643,73
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,281,0,803,83,114,607,74
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,317,0,799,113,88,643,75
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,263,0,842,55,103,583,76
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,275,0,841,75,84,535,77
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,313,0,804,89,107,640,78
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,238,0,833,53,114,436,79
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,252,0,861,43,96,442,80
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,218,0,859,40,101,490,81
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,254,0,837,69,94,480,82
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,343,0,821,78,101,780,83
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,302,0,831,74,95,596,84
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,259,0,850,47,103,481,85
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,1,0,186,813,1,21,86
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,327,0,810,87,103,925,87
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,240,0,842,38,120,467,88
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,246,0,869,32,99,448,89
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,304,0,835,72,93,664,90
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,298,0,830,74,96,692,91
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,242,0,870,28,102,476,92
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,304,0,812,91,97,670,93
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,255,0,830,58,112,511,94
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,299,0,824,91,85,604,95
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,278,0,829,76,95,488,96
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,265,0,818,84,98,558,97
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,379,0,795,95,110,962,98
1000,5,80,10,10,0.02,0.93,0.2,0.97,5,1000,276,0,793,109,98,548,99
