fps,p_rad,days_r,dm,d_t_d,d_prob,h_i_t,vac_p,inf_p,i_rad,pop,t_inf,n_inf,imm,sus,dec,frames, seed
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.4, 0.97, 5, 1000, 247, 0, 856, 79, 65, 612,  1
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.4, 0.97, 5, 1000, 298, 0, 832, 94, 74, 766,  2
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.4, 0.97, 5, 1000, 293, 0, 845, 89, 66, 795,  3
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.4, 0.97, 5, 1000, 262, 0, 855, 61, 84, 482,  4
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.4, 0.97, 5, 1000, 274, 0, 834, 100, 66, 640,  5
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.4, 0.97, 5, 1000, 222, 0, 873, 49, 78, 550,  6
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.4, 0.97, 5, 1000, 301, 0, 827, 106, 67, 822,  7
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.4, 0.97, 5, 1000, 327, 0, 868, 66, 66, 1034,  8
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.4, 0.97, 5, 1000, 278, 0, 845, 86, 69, 597,  9
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.4, 0.97, 5, 1000, 291, 0, 846, 83, 71, 583,  10
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.4, 0.97, 5, 1000, 258, 0, 853, 75, 72, 570,  11
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.4, 0.97, 5, 1000, 280, 0, 811, 127, 62, 791,  12
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.4, 0.97, 5, 1000, 251, 0, 863, 54, 83, 786,  13
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.4, 0.97, 5, 1000, 259, 0, 857, 55, 88, 597,  14
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.4, 0.97, 5, 1000, 265, 0, 870, 71, 59, 590,  15
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.4, 0.97, 5, 1000, 334, 0, 818, 105, 77, 809,  16
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.4, 0.97, 5, 1000, 301, 0, 833, 102, 65, 591,  17
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.4, 0.97, 5, 1000, 271, 0, 857, 54, 89, 792,  18
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.4, 0.97, 5, 1000, 268, 0, 840, 73, 87, 606,  19
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.4, 0.97, 5, 1000, 264, 0, 884, 57, 59, 881,  20
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.4, 0.97, 5, 1000, 289, 0, 789, 130, 81, 628,  21
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.4, 0.97, 5, 1000, 294, 0, 775, 150, 75, 995,  22
